symbol,security_id,isin,company,industry,yfinance_symbol
IOB,9348,INE565A01014,Indian Overseas Bank,Financial Services,IOB.NS
IRCTC,13611,INE335Y01020,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC.NS
IRFC,2029,INE053F01010,Indian Railway Finance Corporation Ltd.,Financial Services,IRFC.NS
IREDA,20261,INE202E01016,Indian Renewable Energy Development Agency Ltd.,Financial Services,IREDA.NS
IGL,11262,INE203G01027,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL.NS
INDUSTOWER,29135,INE121J01017,Indus Towers Ltd.,Telecommunication,INDUSTOWER.NS
INDUSINDBK,5258,INE095A01012,IndusInd Bank Ltd.,Financial Services,INDUSINDBK.NS
NAUKRI,13751,INE663F01032,Info Edge (India) Ltd.,Consumer Services,NAUKRI.NS
INFY,1594,INE009A01021,Infosys Ltd.,Information Technology,INFY.NS
INOXWIND,7852,INE066P01011,Inox Wind Ltd.,Capital Goods,INOXWIND.NS
INTELLECT,5926,INE306R01017,Intellect Design Arena Ltd.,Information Technology,INTELLECT.NS
INDIGO,11195,INE646L01027,InterGlobe Aviation Ltd.,Services,INDIGO.NS
IGIL,28378,INE0Q9301021,International Gemological Institute Ltd.,Services,IGIL.NS
IKS,28125,INE115Q01022,Inventurus Knowledge Solutions Ltd.,Information Technology,IKS.NS
IPCALAB,1633,INE571A01038,Ipca Laboratories Ltd.,Healthcare,IPCALAB.NS
JKCEMENT,13270,INE823G01014,J.K. Cement Ltd.,Construction Materials,JKCEMENT.NS
JBMA,11655,INE927D01051,JBM Auto Ltd.,Automobile and Auto Components,JBMA.NS
JKTYRE,14435,INE573A01042,JK Tyre & Industries Ltd.,Automobile and Auto Components,JKTYRE.NS
JMFINANCIL,13637,INE780C01023,JM Financial Ltd.,Financial Services,JMFINANCIL.NS
JSWCEMENT,758460,INE718I01012,JSW Cement Ltd.,Construction Materials,JSWCEMENT.NS
JSWDULUX,1467,INE133A01011,JSW Dulux Ltd.,Consumer Durables,JSWDULUX.NS
JSWENERGY,17869,INE121E01018,JSW Energy Ltd.,Power,JSWENERGY.NS
JSWINFRA,19020,INE880J01026,JSW Infrastructure Ltd.,Services,JSWINFRA.NS
JSWSTEEL,11723,INE019A01038,JSW Steel Ltd.,Metals & Mining,JSWSTEEL.NS
JAINREC,759244,INE0YD401026,Jain Resource Recycling Ltd.,Metals & Mining,JAINREC.NS
JPPOWER,11763,INE351F01018,Jaiprakash Power Ventures Ltd.,Power,JPPOWER.NS
J&KBANK,5633,INE168A01041,Jammu & Kashmir Bank Ltd.,Financial Services,J&KBANK.NS
JINDALSAW,3024,INE324A01032,Jindal Saw Ltd.,Capital Goods,JINDALSAW.NS
JSL,11236,INE220G01021,Jindal Stainless Ltd.,Metals & Mining,JSL.NS
JINDALSTEL,6733,INE749A01030,Jindal Steel Ltd.,Metals & Mining,JINDALSTEL.NS
JIOFIN,18143,INE758E01017,Jio Financial Services Ltd.,Financial Services,JIOFIN.NS
JUBLFOOD,18096,INE797F01020,Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD.NS
JUBLINGREA,2783,INE0BY001018,Jubilant Ingrevia Ltd.,Chemicals,JUBLINGREA.NS
JUBLPHARMA,3637,INE700A01033,Jubilant Pharmova Ltd.,Healthcare,JUBLPHARMA.NS
JWL,20224,INE209L01016,Jupiter Wagons Ltd.,Capital Goods,JWL.NS
JYOTICNC,21334,INE980O01024,Jyoti CNC Automation Ltd.,Capital Goods,JYOTICNC.NS
KPRMILL,14912,INE930H01031,K.P.R. Mill Ltd.,Textiles,KPRMILL.NS
KEI,13310,INE878B01027,KEI Industries Ltd.,Capital Goods,KEI.NS
KPITTECH,9683,INE04I401011,KPIT Technologies Ltd.,Information Technology,KPITTECH.NS
KAJARIACER,1808,INE217B01036,Kajaria Ceramics Ltd.,Consumer Durables,KAJARIACER.NS
KPIL,1814,INE220B01022,Kalpataru Projects International Ltd.,Construction,KPIL.NS
KALYANKJIL,2955,INE303R01014,Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL.NS
